Geo Point;Geo Shape;gid;geom_o;geom_err;ident;insee;adresse;implantation;gestionnaire;libelle;nb_place;nb_pmr;nb_irve;condition_acces;actif;cdate;mdate
44.8987318, -0.521205;"{""coordinates"": [-0.521205, 44.8987318], ""type"": ""Point""}";1736;0;;088;33032;14 Rue de la Roseraie;VOIRIE;CITIZ;Titi Floris Bassens;1;0;0;LIBRE;True;2023-11-29T15:52:24+01:00;2023-11-29T15:52:24+01:00
44.8569009, -0.6583103;"{""coordinates"": [-0.6583103, 44.8569009], ""type"": ""Point""}";1743;0;;108;33281;100 Avenue de Magudas - 33700 Mérignac;VOIRIE;CITIZ;Titi Floris Magudas;1;0;0;LIBRE;True;2023-11-29T16:24:35+01:00;2023-11-29T16:24:35+01:00
44.8416108, -0.6167472;"{""coordinates"": [-0.6167472, 44.8416108], ""type"": ""Point""}";1745;0;;120;33063;Rue du Professeur Moreau;AUTRE;CITIZ;Titi Floris Moreau;1;0;0;LIBRE;True;2023-11-29T16:55:07+01:00;2023-11-29T16:55:07+01:00
44.852216, -0.6226538;"{""coordinates"": [-0.6226538, 44.852216], ""type"": ""Point""}";1747;0;;122;33063;29 Rue Poujeau - 33200 Bordeaux;VOIRIE;CITIZ;Titi Floris Poujeau;1;0;0;LIBRE;True;2023-11-29T16:58:06+01:00;2023-11-29T16:58:06+01:00
44.8114535, -0.5631403;"{""coordinates"": [-0.5631403, 44.8114535], ""type"": ""Point""}";1697;0;;003;33039;7 Rue Anatole France;VOIRIE;CITIZ;Anatole France;2;0;0;LIBRE;True;2023-11-28T11:12:55+01:00;2023-11-28T11:12:55+01:00
44.8142508, -0.572717;"{""coordinates"": [-0.572717, 44.8142508], ""type"": ""Point""}";1699;0;;008;33063;5 Route de Toulouse;VOIRIE;CITIZ;Barrière de Toulouse;2;0;0;LIBRE;True;2023-11-28T11:48:20+01:00;2023-11-28T11:48:20+01:00
44.8396221, -0.6055387;"{""coordinates"": [-0.6055387, 44.8396221], ""type"": ""Point""}";1701;0;;012;33063;122 Avenue de la République;VOIRIE;CITIZ;Bel-Air / République;1;0;0;LIBRE;True;2023-11-28T13:03:27+01:00;2023-11-28T13:03:27+01:00
44.8445239, -0.5784037;"{""coordinates"": [-0.5784037, 44.8445239], ""type"": ""Point""}";1703;0;;021;33063;61 crs Georges Clémenceau;VOIRIE;CITIZ;Clémenceau / Tourny;2;0;0;LIBRE;True;2023-11-28T13:33:19+01:00;2023-11-28T13:33:19+01:00
44.8631693, -0.5725134;"{""coordinates"": [-0.5725134, 44.8631693], ""type"": ""Point""}";1705;0;;024;33063;149-151 Crs du Médoc;VOIRIE;CITIZ;Cours du Médoc / Tatry;2;0;0;LIBRE;True;2023-11-28T13:42:53+01:00;2023-11-28T13:42:53+01:00
44.8495277, -0.5614649;"{""coordinates"": [-0.5614649, 44.8495277], ""type"": ""Point""}";1706;0;;024;33063;87 Quai des Queyries;VOIRIE;CITIZ;Darwin;4;0;0;LIBRE;True;2023-11-28T13:44:34+01:00;2023-11-28T13:44:34+01:00
