gml_id;GID;RS_CHANTIER;COMMUNE;DATE_DEBUT;DATE_FIN;NUMERO_ACTE;TYPE_EMPRISE;MES_LIBELLE;GID_EMPRISE;LOCALISATION_EMPRISE;gid_acte
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.243536;243536;152980;BORDEAUX;2024-09-27;2024-10-04;24BORAJPT21724;EMPRISE;"Circulation interdite;Mise en impasse;Interdiction de stationnement";308289;du 1 au 113 Rue Prunier (Bordeaux);243536
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242631;242631;158951;BORDEAUX;2024-10-01;2024-10-10;24BORAJPT21132;EMPRISE;"Limitation de vitesse;Circulation alternée;Interdiction de stationnement;Neutralisation de voie";307146;du 112 au 125 Avenue du Général Leclerc (Bordeaux);242631
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.243375;243375;149088;BORDEAUX;2024-10-07;2024-12-31;24BORAJPT21784;EMPRISE/EMPRISE/EMPRISE;"Interdiction de tourner,Sens interdit (ou sens unique);Mesure libre circulation,Interdiction de tourner";308082/308080/308081;Cours de l'Yser à l'intersection du cours de la Marne Rue Kleber à l'intersection du cours de la Marne/Cours de la Marne, de la place des Capucins jusqu'à la place de la Victoire/Place des Capucins à l'intersection du cours de la Marne Rue Chantre à l'intersection du cours de la Marne Rue Garat à l'intersection du cours de la Marne Rue Leyteire à l'intersection du cours de la Marne;243375
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.243457;243457;157629;BORDEAUX;2024-09-30;2025-10-18;24BORAJPT21651;DEVIATION/EMPRISE/EMPRISE/DEVIATION/DEVIATION;Déviation,Circulation interdite,Interdiction de stationnement,Déviation,Déviation;308234/308183/308231/308232/308233;par la rue Joseph Brunet, la rue Duplex et la rue Blanqui/Rue Pascal Lafargue, entre la rue Blanqui et la rue Joseph Brunet (1 jour dans la période)/au n°32 Rue Pascal Lafargue (1 jour dans la période)/la rue Joseph Brunet la rue Louis David Allègre, la rue Francis Jammes et la rue Blanqui./la rue Blanqui, la Cité Lafon et la rue Joseph Brunet;243457
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.243152;243152;159201;BORDEAUX;2024-10-09;2024-10-16;24BORAJPT21558;EMPRISE;Rétrécissement de largeur de voie;307798;Rue des Lendemains;243152
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.243228;243228;159228;BORDEAUX;2024-10-14;2024-11-01;24BORAJPT21552;DEVIATION/EMPRISE;Déviation,Circulation interdite;307897/307896;Rue Duguay-Trouin et avenue de Tourville/3 Rue Dumont d'Urville (Bordeaux);243228
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.243324;243324;159283;BORDEAUX;2024-10-16;2024-10-16;24BORAJPT21517;DEVIATION/EMPRISE;"Déviation,Neutralisation de voie;Mise en impasse";308016/308015;1/ Rue Camille Sauvageau, rue Beyssac, rue Carpenteyre, rue des Allamandiers, quai de la Monnaie, porte de la Monnaie (Bordeaux)/69 - 71 Rue Camille Sauvageau (Bordeaux);243324
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.243481;243481;149372;BORDEAUX;2024-10-13;2024-10-17;24BORAJPT21848;EMPRISE;"Circulation alternée;Neutralisation de voie";308211;cours Victor Hugo (Bordeaux), de la Place de la Ferme de Richemont à la fin de la voie de bus;243481
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.243470;243470;159334;BORDEAUX;2024-10-02;2024-10-11;24BORAJPT21643;EMPRISE;Interdiction de stationnement;308198;8 rue François le Gallais du 5 au 9 Rue François le Gallais du côté impair (Bordeaux);243470
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.243114;243114;157662;BORDEAUX;2024-10-07;2025-10-11;24BORAJPT21385;EMPRISE;"Circulation alternée;Interdiction de stationnement;Circulation interdite";307753;127 Rue Camille Flammarion (Bordeaux);243114
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.243214;243214;159225;BORDEAUX;2024-10-14;2024-10-31;24BORAJPT21556;EMPRISE;Circulation alternée;307882;25 bis Rue Cardinal Richaud;243214
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.243197;243197;159214;BORDEAUX;2024-09-27;2024-10-11;24BORAJPT21421;EMPRISE/EMPRISE/DEVIATION;"Sens interdit (ou sens unique),Interdiction de stationnement;Circulation interdite,Déviation";307858/307857/307859;Rue Honoré Picon, de Allée Serr jusqu'à la Rue Fourteau (Bordeaux)/23 Rue Fourteau (Bordeaux)/Allée Serr (Bordeaux) vers l'avenue Abadie, l'avenue Thiers et la rue Honoré Picon;243197
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.243416;243416;152759;BORDEAUX;2024-09-26;2024-10-31;24BORAJPT21581;EMPRISE;Rétrécissement de largeur de voie;308129;Avenue des Quarante Journaux;243416
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.243489;243489;156284;BORDEAUX;2024-10-21;2024-10-31;24BORAJPT21625;EMPRISE;"Circulation interdite;Mise en impasse;Limitation de vitesse";308221;Rue Jules Dugas, de l'Avenue de la République jusqu'à la Rue Bernard Adour (Bordeaux) pour un chantier au 6;243489
