Geo Point;Geo Shape;gid;geom_o;geom_err;ident;id_local;libelle;adresse;insee;implantation;actif;nb_place;nb_pmr;nb_irve;condition_acces;accessibilite_24_24;gestionnaire;cdate;mdate
44.8497552, -0.5465349;"{""coordinates"": [-0.5465349, 44.8497552], ""type"": ""Point""}";1428;0;;33063-C-005;7;Parc-relais Galin;rue Gustave Eiffel 33100 Bordeaux;33063;PARKING_RELAIS;True;5;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
44.927303, -0.4680705;"{""coordinates"": [-0.4680705, 44.927303], ""type"": ""Point""}";1430;0;;33003-C-002;29;Ambares echangeur 42;chemin de la Hourcade 33440 Ambares;33003;VOIRIE_PUBLIQUE;True;70;2;0;LIBRE;True;AUTRE;2021-06-22T13:42:16+02:00;2023-04-06T09:23:06+02:00
44.7927816, -0.5334246;"{""coordinates"": [-0.5334246, 44.7927816], ""type"": ""Point""}";1431;0;;33039-C-002;3;Centre commercial Rives d'Arcins;chemin de Tartifume 33130 Begles;33039;VOIRIE_PUBLIQUE;True;78;0;0;LIBRE;True;PRIVE;2020-03-12T10:20:43+01:00;2021-11-18T15:24:02+01:00
44.8697194, -0.7028107;"{""coordinates"": [-0.7028107, 44.8697194], ""type"": ""Point""}";1376;0;;33434-C-003;62;Parking Feydit;60 route de Feydit 33160 Saint Medard en Jalles;33449;VOIRIE_PUBLIQUE;True;5;0;0;LIBRE;True;BORDEAUX_METROPOLE;2015-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.8795219, -0.6345527;"{""coordinates"": [-0.6345527, 44.8795219], ""type"": ""Point""}";1377;0;;33162-C-009;41;Parking rue des Treytins;44 rue des Treytins 33320 Eysines;33162;VOIRIE_PUBLIQUE;True;4;0;0;LIBRE;True;BORDEAUX_METROPOLE;2015-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.8382593, -0.6160842;"{""coordinates"": [-0.6160842, 44.8382593], ""type"": ""Point""}";1381;0;;33281-C-008;52;Place Mondesir;place Mondesir 33700 Merignac;33281;VOIRIE_PUBLIQUE;True;5;0;0;LIBRE;True;BORDEAUX_METROPOLE;2015-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.8420035, -0.7701859;"{""coordinates"": [-0.7701859, 44.8420035], ""type"": ""Point""}";1386;0;;33273-C-001;49;Intermarche de Martignas;6 Avenue Colonel Pierre Bourgoin 33127 Martignas-sur-Jalle;33273;VOIRIE_PRIVEE;True;45;0;0;LIBRE;True;PRIVE;2017-08-31T00:00:00+02:00;2021-11-18T15:24:02+01:00
44.8674142, -0.4954912;"{""coordinates"": [-0.4954912, 44.8674142], ""type"": ""Point""}";1387;0;;33013-C-002;31;Aire Nelson Paillou Artigues;6 Avenue de la Prairie 33370 Artigues-pres-Bordeaux;33013;VOIRIE_PUBLIQUE;True;38;0;0;LIBRE;True;BORDEAUX_METROPOLE;2012-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.8968156, -0.7218461;"{""coordinates"": [-0.7218461, 44.8968156], ""type"": ""Point""}";1392;0;;33434-C-006;66;Gare routiere;3-7 Avenue du General de Gaulle 33160 Saint Medard en Jalles;33449;VOIRIE_PUBLIQUE;True;5;0;0;LIBRE;True;BORDEAUX_METROPOLE;2015-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.8659273, -0.5185209;"{""coordinates"": [-0.5185209, 44.8659273], ""type"": ""Point""}";1396;0;;33249-C-002;48;Centre commercial Quatre Pavillons;Centre Commercial des Quatre Pavillons 33310 Lormont;33249;VOIRIE_PRIVEE;True;5;0;0;LIBRE;True;PRIVE;2015-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.9072891, -0.7255041;"{""coordinates"": [-0.7255041, 44.9072891], ""type"": ""Point""}";1397;0;;33376-C-001;60;EuroMedoc;allee Euromedoc 33160 Saint-Aubin-de-Medoc;33376;VOIRIE_PUBLIQUE;True;5;0;0;LIBRE;True;BORDEAUX_METROPOLE;2018-02-07T09:53:24+01:00;2021-11-18T15:24:02+01:00
45.009081, -0.5280327;"{""coordinates"": [-0.5280327, 45.009081], ""type"": ""Point""}";1402;0;;33004-C-001;30;Ambes Place Escarraguel;place Escarraguel 33810 Ambes;33004;VOIRIE_PUBLIQUE;True;2;0;0;LIBRE;True;BORDEAUX_METROPOLE;2018-05-24T15:24:08+02:00;2021-11-18T15:24:02+01:00
44.9039575, -0.700942;"{""coordinates"": [-0.700942, 44.9039575], ""type"": ""Point""}";1403;0;;33519-C-003;47;Le Taillan Medoc Place Voltaire;2 place Voltaire Le Taillan Medoc;33519;VOIRIE_PUBLIQUE;True;5;0;0;LIBRE;True;BORDEAUX_METROPOLE;2018-09-04T11:52:17+02:00;2021-11-18T15:24:02+01:00
44.8292064, -0.5548085;"{""coordinates"": [-0.5548085, 44.8292064], ""type"": ""Point""}";1404;0;;33063-C-001;36;Bordeaux Domerq Saint Jean;rue Charles Domercq-angle quai de Paludate;33063;VOIRIE_PUBLIQUE;True;4;0;0;LIBRE;True;BORDEAUX_METROPOLE;2019-02-11T12:43:33+01:00;2021-11-18T15:24:02+01:00
44.8962596, -0.5177095;"{""coordinates"": [-0.5177095, 44.8962596], ""type"": ""Point""}";1405;0;;33032-C-001;32;Bassens Rome;rue de Rome angle avenue Republique 33530 Bassens;33032;VOIRIE_PUBLIQUE;True;3;0;0;LIBRE;True;BORDEAUX_METROPOLE;2019-03-14T14:36:51+01:00;2021-11-18T15:24:02+01:00
44.8755207, -0.5443771;"{""coordinates"": [-0.5443771, 44.8755207], ""type"": ""Point""}";1406;0;;33063-C-002;4;Parc-relais Brandenburg;boulevard Albert Brandenburg 33000 Bordeaux;33063;PARKING_RELAIS;True;5;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
